"region","year","sector","technology","resource","input.price","feed.cost","feed.EJ","product.EJ","non.en.cost","cost"
"India",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,315580726.772924,0.1143762816,0.0851014,178221121.98912,493801848.762044
"Japan",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,111163090.766382,0.0254294208,0.0189207,39624123.49056,150787214.256942
"South America_Southern",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,117500631.723384,0.0244730304,0.0182091,38133875.96928,155634507.692664
"USA",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,5963509446.42725,1.5808451904,1.1762241,2463272975.68128,8426782422.10853
"Ukraine",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,12333491.764028,0.0028693056,0.0021349,4470951.98592,16804443.749948
"Brazil",2021,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,1776612535.38,0.622207,0.622207,1883980575.3,3660593110.68
"Central America and Caribbean",2021,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,75359066.404,0.0096697,0.0096697,29278884.63,104637951.034
"Colombia",2021,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,117311917.28,0.0084976,0.0084976,25729883.04,143041800.32
"EU-12",2021,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,19700994.051,0.0035887,0.0035887,10866224.73,30567218.781
"EU-15",2021,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,106702651.625,0.0185275,0.0185275,56099417.25,162802068.875
"Europe_Non_EU",2021,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,2235864.5,0.000398,0.000398,1205104.2,3440968.7
"Southeast Asia",2021,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,255301827.11,0.0447485,0.0447485,135493983.15,390795810.26
"Africa_Eastern",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,82701016.1766153,0.05167166476724,0.0484526,45409058.9974505,128110075.174066
"Africa_Northern",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1251098831.7786,0.86073613729719,0.7929327,756414917.456771,2007513749.23537
"Africa_Southern",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,60809703.0530032,0.04192326994347,0.0382203,36842169.6263214,97651872.6793247
"Africa_Western",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,249149410.103155,0.17170606039356,0.1501731,150895285.873861,400044695.977015
"Argentina",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,557179156.371141,0.38272256025156,0.3387924,336336585.949071,893515742.320212
"Australia_NZ",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,631070413.498212,0.42131385549652,0.4080292,370250616.210342,1001321029.70855
"Brazil",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1499146182.22003,0.97673910480909,0.8848407,858358325.306228,2357504507.52626
"Canada",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1690025427.01416,1.13158189450578,1.0096082,994434168.89168,2684459595.90584
"Central America and Caribbean",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,265903543.502132,0.17077343899176,0.1376694,150075698.185959,415979241.68809
"Central Asia",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,910021238.57928,0.60850055270592,0.5466944,534750285.717963,1444771524.29724
"China",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1777879453.05845,1.18211015101967,1.1056249,1038838400.71609,2816717853.77453
"Colombia",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,153187704.255917,0.1054088717474,0.0859196,92633316.4916151,245821020.747532
"EU-12",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1754454378.36735,1.08789945872868,1.0012404,956046044.330764,2710500422.69811
"EU-15",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,13260937555.8458,8.31764751714555,7.8010649,7309548638.06751,20570486193.9133
"Europe_Non_EU",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1379192186.91188,0.8593025633532,0.7908636,755155092.674792,2134347279.58667
"European Free Trade Association",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,468461546.545367,0.3184102054017,0.2966727,279818888.507014,748280435.052381
"India",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1278634647.9974,0.84551803471476,0.8094042,743041248.907331,2021675896.90473
"Indonesia",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,684105797.435685,0.47113334954752,0.4202176,414031987.582361,1098137785.01805
"Japan",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,3584651930.09839,2.20497007275,2.1603375,1937727699.9327,5522379630.03109
"Mexico",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,857667098.606332,0.59127435203878,0.5163859,519611900.57168,1377278999.17801
"Middle East",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,3857896408.01212,2.59060484493308,2.4032539,2276623537.72719,6134519945.73931
"Pakistan",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,119707255.576175,0.0765802960517,0.0698185,67298764.170234,187006019.746409
"Russia",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,5565891788.50349,3.74260820962528,3.2370032,3289004094.6187,8854895883.12219
"South Africa",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,209440963.528372,0.1308580733314,0.097666,114998074.843634,324439038.372007
"South America_Northern",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,868813890.378875,0.59439921484932,0.4950458,522358030.009582,1391171920.38846
"South America_Southern",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,362316808.810947,0.24870038172205,0.2287751,218557895.457338,580874704.268285
"South Asia",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,49810488.4775245,0.03267032773476,0.0298652,28710684.0133071,78521172.4908316
"South Korea",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,890858970.445272,0.55661291499236,0.5542741,489151429.695286,1380010400.14056
"Southeast Asia",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,1519543287.94997,0.9990450422858,0.9284857,877960783.160761,2397504071.11073
"Taiwan",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,298287668.233509,0.17989932110786,0.1643959,158095523.389587,456383191.623096
"USA",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,10527512720.3873,6.80227995031305,6.2234135,5977843620.33511,16505356340.7224
"Ukraine",1990,"crude oil refining","Distillate_FuelOil","Distillate_FuelOil_crude oil",0.8788,933802468.062908,0.5792253247332,0.6291848,509023215.375536,1442825683.43844
"Africa_Eastern",1990,"crude oil refining","Gasoline","Gasoline_crude oil",0.8788,49585687.6833951,0.03098117955114,0.0290511,27226260.5895418,76811948.2729369
