# File: IEA_CCUS_Projects_Database_2023.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2023
# Column types: cccciiiicnnnccc
# ----------
Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
Project Bison (WY) Phase 2,United States,"CarbonCapture, Frontier Carbon Solutions",Full chain,2022,,2026,,Planned,2,0.2,0.2,Direct Air Capture,Dedicated storage,
Project Bison (WY) Phase 3,United States,"CarbonCapture, Frontier Carbon Solutions",Full chain,2022,,2028,,Planned,3,0.8,0.8,Direct Air Capture,Dedicated storage,
Project Bison (WY) Phase 4,United States,"CarbonCapture, Frontier Carbon Solutions",Full chain,2022,,2028,,Planned,4,4,4,Direct Air Capture,Dedicated storage,
Project Cavendish Phase 1,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2023,2026,,Planned,1,1.2,1.2,Hydrogen/ammonia,Dedicated storage,Acorn CCS
Project Cavendish Phase 2,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2023,2026,,Planned,2,1.8,1.8,Hydrogen/ammonia,Dedicated storage,Acorn CCS
Project Clear Horizon (ALB),Canada, City of Medicine Hat,Full chain,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,Project Clear Horizon (ALB)
Project ECO2S: Early CO2 Storage Complex in Kemper County (MS),United States,Southern States Energy Board,T&S,2017,,,,Planned,,3,3,CO2 storage,Dedicated storage,Project ECO2S: Early CO2 Storage Complex in Kemper County (MS)
Project Greensand phase 1,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",T&S,2020,2024,2025,,Planned,1,1.5,1.5,CO2 T&S,Dedicated storage,Project Greensand
Project Greensand phase 2,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",T&S,2020,,2030,,Planned,2,6.5,6.5,CO2 T&S,Dedicated storage,Project Greensand
Project Hajar,Oman,"Mission Zero, 44.01",CCU,2022,,2024,,Planned,,0.001,0.001,Direct Air Capture,Use,
Project Interseqt - Hereford Ethanol Plant (TX),United States,"White Energy, Oxy Low Carbon Ventures",Full chain,2018,,2023,,Planned,,0.35,0.35,Biofuels,EOR,
Project Interseqt - Plainview Ethanol Plant (TX),United States,"White Energy, Oxy Low Carbon Ventures",Full chain,2018,,2023,,Planned,,0.35,0.35,Biofuels,EOR,
Project Lochridge (LA),United States,Southern States Energy Board,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Project Lochridge (LA)
Project OASIS Shelby County (AL),United States,Southern States Energy Board,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Project OASIS Shelby County (AL)
Project Phoenix ammonia (WY),United States,"North Shore Energy, Starwood Energy Group",Full chain,2022,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Project Pouakai Hydrogen Production with CCS,New Zealand,"8Rivers, Toshiba, McDermott, Exelon, Oxy",Full chain,2018,,2024,,Planned,,1,1,Hydrogen/ammonia,Unknown/unspecified,
Project Tundra at Milton R Young Station (ND),United States,Minnkota Power Cooperative Inc.,Full chain,2018,2023,2026,,Planned,,3.1,3.6,Power and heat,Dedicated storage,Minnkota-Summit Carbon solutions storage (ND)
Projects Trelleborg and Fyrkat (2 storage sites) phase 1,Denmark,Capio Danmark,Storage,2022,,2026,,Planned,1,2.3,2.6,CO2 storage,Dedicated storage,NORNE
Projects Trelleborg and Fyrkat (2 storage sites) phase 2,Denmark,Capio Danmark,Storage,2022,,2030,,Planned,2,16.4,16.4,CO2 storage,Dedicated storage,NORNE
Protos CO2 network phase 1,United Kingdom,"Peel NRE, Progressive Energy",Transport,2022,,,,Planned,1,0.8,0.8,CO2 transport,,Liverpool Bay CO2 storage
Protos CO2 network phase 2,United Kingdom,"Peel NRE, Progressive Energy",Transport,2022,,,,Planned,2,0.4,0.4,CO2 transport,,Liverpool Bay CO2 storage
"PT Panca Amara Utama (PAU) Banggai ammonia plant, Luwuk Central Sulawesi",Indonesia,"JOGMEC, Mitsubishi, PT Panca Amara Utama, ITB",Full chain,2021,,2028,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
PYCASSO hub phase 1 - eastern and western pipeline,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2025,2030,,Planned,1,2.5,2.5,CO2 T&S,Dedicated storage,PYCASSO hub
PYCASSO hub phase 2 - northern and cross-border pipeline,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2025,2035,,Planned,2,3.4,3.4,CO2 T&S,Dedicated storage,PYCASSO hub
Qatar LNG,Qatar,"Qatar Petroleum, ExxonMobil",Full chain,2019,,2019,,Operational,,2.1,2.1,Natural gas processing,Dedicated storage,
Qatar North Field East Project CCS,Qatar,Qatar Petroleum,Full chain,2018,2021,2025,,Under construction,,2.9,2.9,Natural gas processing,Dedicated storage,
Quad County Corn Processors Galva biorefinery (IA),United States,"Quad County Corn Processors, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.09,0.109,Biofuels,Dedicated storage,Midwest carbon express
Quest (ALB),Canada,"Shell (60%), Marathon oil (20%), Chevron Canada (20%), CNRL",Full chain,2009,2012,2015,,Operational,,1,1.2,Other fuel transformation,Dedicated storage,
Ram River Carbon Sequestration Hub (ALB),Canada, Tidewater Midstream & Infrastructure Ltd.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Ram River Carbon Sequestration Hub (ALB)
Ravenna Hub phase 1,Italy,"Eni, Snam",T&S,2020,2023,2023,,Planned,1,0.025,0.025,CO2 T&S,Dedicated storage,Ravenna Hub
Ravenna Hub phase 2,Italy,"Eni, Snam",T&S,2020,2023,2027,,Planned,2,3.975,3.975,CO2 T&S,Dedicated storage,Ravenna Hub
Red Trail Energy BECCS Project (ND),United States,"Plains CO2 Reduction Partnership,  Energy & Environmental Research Centre,  Red Trail Energy",Full chain,2016,,2022,,Operational,,0.18,0.18,Biofuels,Dedicated storage,
Redcar Energy Centre EfW,United Kingdom,Redcar Energy (Low Carbon and PMAC Energy),Capture,2021,2023,2025,,Planned,,0.4,0.4,Power and heat,Dedicated storage,Northern Endurance Partnership
Redfield Energy biorefinery (ND),United States,"Red River BioRefinery, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.15,0.172,Biofuels,Dedicated storage,Midwest carbon express
Removr large-scale plant,Unknown (Europe),"Removr (Greencap 40%, Vanir Green Industries 60%), Carbfix",Capture,2022,,2025,,Planned,,0.002,0.002,Direct Air Capture,,
Repsol Sakakemang Block carbon capture,Indonesia,"Repsol, Petronas, MOECO",Full chain,2021,2023,2027,,Planned,,1.5,2,Natural gas processing,Dedicated storage,
Ringneck Energy & Feed Onida biorefinery (SD),United States,"Ringneck Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.19,0.229,Biofuels,Dedicated storage,Midwest carbon express
Rockpoint and Inter Pipeline Carbon Sequestration Hub,Canada,Inter Pipeline and Rockpoint Gas Storage,T&S,2022,,,,Planned,,6,6,CO2 T&S,Dedicated storage,Rockpoint and Inter Pipeline Carbon Sequestration Hub
Rocky Mountain Carbon (ALB),Canada,"West Fraser, Torchlight Bioresources",Capture,2023,2025,2027,,Planned,,1,1.3,Other industry,Dedicated storage,"Rocky Mountain Carbon Vault (ALB), ADM"
Rocky Mountain Carbon Vault (ALB),Canada, Vault 44.01 Ltd.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Rocky Mountain Carbon Vault (ALB)
Rohm chemical plant (x2),Germany,"Rohm, Aker carbon capture",CCU,2023,,,,Planned,,0.5,0.5,Other industry,Use,
Rolling Hills Carbon Sequestration Hub (ALB),Canada, AltaGas Ltd. and Whitecap Resources Inc.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Rolling Hills Carbon Sequestration Hub (ALB)
Roughrider Carbon Storage Hub (ND),United States,University of North Dakota,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Roughrider Carbon Storage Hub (ND)
Runcorn CCS project,United Kingdom,"Viridor, Aker CC (tech)",Capture,2021,2023,2026,,Planned,,0.95,0.95,Power and heat,Dedicated storage,Liverpool Bay CO2 storage
RWE Amer power plant,Netherlands,RWE,Capture,2022,,2032,,Planned,,5.5,7,Power and heat,Dedicated storage,Noorkaap
RWE CCGT Staythorpe (+ another new build?),United Kingdom,RWE,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,Viking CCS
RWE Eemshaven power plant,Netherlands,RWE,Capture,2022,,2030,,Planned,,5.5,7,Power and heat,Dedicated storage,Noorkaap
Santos Bonaparte Basin storage,Australia,"Santos Offshore Pty Ltd (40% and Operator), Chevron Australia Pty Ltd (30%) and SK E&S (30%) ",Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Santos Bonaparte Basin storage
Santos Carnavon Basin storage (Reindeer CCS),Australia,Santos Offshore Pty Ltd (50% and Operator) and Chevron Australia Pty Ltd (50%),Storage,2022,2025,2028,,Planned,,2.4,2.4,CO2 storage,Dedicated storage,Santos Carnavon Basin storage (Reindeer CCS)
Santos Moomba storage Hub,Australia,"Santos, Beach Energy",Storage,2019,,,,Planned,,20,20,CO2 T&S,Dedicated storage,Santos Moomba storage Hub
"Santos Port Botany, New South Wales",Australia,"Santos, Qenos",CCU,2021,,,,Planned,,0.15,0.15,Hydrogen/ammonia,Use,
SHARC Neste,Finland,"Neste
Oyj",Capture,2021,,2025,,Planned,,,,Other fuel transformation,Dedicated storage,Northern Lights
Shell Deer Park Chemical complex (TX),United States,Wood Environment & Infrastructure Solutions,Capture,2021,,,,Planned,,,,Other industry,Unknown/unspecified,
Shell Energy and Chemicals Park Rotterdam biodiesel & SAF (former Pernis),Netherlands,Shell,Capture,2021,2021,2024,,Under construction,,0.38,0.38,Biofuels,Dedicated storage,Porthos
Shell heavy residue gasification CCU - Pernis refinery,Netherlands,Shell,CCU,,,1997,,Operational,,0.4,0.4,Other fuel transformation,Use,
Shell Uniper Humber Hub Blue North Killingholme,United Kingdom,"Shell, Uniper",Capture,2022,2024,2027,,Planned,,1.6,1.6,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
Shepard Energy Centre (SEC) (ALB),Canada,Enmax Energy Corporation,Capture,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,
Sinopec Nanjing Chemical Industries CCUS Cooperation Project,People's Republic of China,Sinopec,Full chain,2015,,2021,,Operational,,0.2,0.2,Other industry,EOR,Jiangsu oilfield
Sinopec Qilu Petrochemical Shengli,People's Republic of China,"Sinopec, Qilu Petrochemical",Full chain,2012,2021,2022,,Operational,,0.7,1,Other industry,EOR,Shengli oilfield
Sinopec Shengli Power Plant CCS,People's Republic of China,Sinopec,Full chain,2011,,2030,,Planned,,1,2,Power and heat,EOR,Shengli oilfield
Siouxland Energy Cooperative Sioux Center biorefinery (IA),United States,"Siouxland Energy Cooperative, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.16,0.186,Biofuels,Dedicated storage,Midwest carbon express
Sizewell C nuclear-powered DAC Full-scale,United Kingdom,"Sizewell C,  Nottingham University, Strata Technology, Atkins and Doosan Babcock",Capture,2022,,2030,,Planned,1,0.05,0.05,Direct Air Capture,Dedicated storage,
Sleipner,Norway,"Equinor, Eni",Full chain,1991,,1996,,Operational,,1,1,Natural gas processing,Dedicated storage,
Snohvit CO2 capture and storage,Norway,"Equinor, Petoro, TotalEnergies, Neptune, Wintershall",Full chain,2002,2002,2008,,Operational,,0.7,0.7,Natural gas processing,Dedicated storage,
South East Australia carbon capture and storage (SEA CCS) hub,Australia,"Esso Australia Resources Pty Ltd, BHP Petroleum Pty Ltd ",T&S,2022,,2025,,Planned,,2,2,CO2 T&S,Dedicated storage,Sea CCS hub
South West Blue Hydrogen,Australia,Pilot Energy,Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,South West Hub Project
South West Hub Project,Australia,"Department of Mines, Industry Regulation and Safety (DMIRS)",Storage,2010,,,,Planned,,0.8,0.8,CO2 T&S,Dedicated storage,South West Hub Project
Spirit Energy CCUS hub,United Kingdom,Spirit Energy (Centrica and Stadtwerke Mucnchen GmbH joint venture),T&S,2023,,,,Planned,,,,CO2 T&S,Storage,Spirit Energy CCUS hub
Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),Sweden,"Stockolm Exergi, CO2 Capsol",Capture,2021,,2026,,Planned,,0.7,0.7,Power and heat,Dedicated storage,
Structure A&E,Lybia,"Eni, National Oil Corporation (NOC) Libya",Full chain,2023,,2026,,Planned,,,,Natural gas processing,Dedicated storage,
Suek Blue Ammonia Borodinsky,Russian Federation,"Agency for Economic Development of the Leningrad Region, Suek",Full chain,2021,,2027,,Planned,,,,Hydrogen/ammonia,EOR,
Suez Tees Valley / Haverton Hill Waste to Energy CCS,United Kingdom,Suez,Capture,2020,2025,2027,,Planned,,0.24,0.24,Power and heat,Dedicated storage,Northern Endurance Partnership
Suncor Edmonton Refinery (ALB) phase 1,Canada,"Suncor, ATCO",Capture,2021,2024,2028,,Planned,1,2,2,Other fuel transformation,Unknown/unspecified,Atlas Carbon Sequestration Hub
Suncor Edmonton Refinery (ALB) phase 2,Canada,"Suncor, Svante",Capture,2022,,,,Planned,2,,,Other fuel transformation,Unknown/unspecified,Atlas Carbon Sequestration Hub
Sutter CO CCS Project (CA),United States,Gas Technology Institute,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Sutter CO CCS Project (CA)
Svante capture Linde SMR plant (TX) ,United States,"Linde, Svante",Capture,2021,,,,Planned,,1.1,1.1,Hydrogen/ammonia,Dedicated storage,
T6-Kanata CarbonHub (ALB),Canada,"Kanata Clean Power & Climate Technologies Corp, Vault 44.01, Carbonvert Inc., Frog Lake First Nations #121 & #122, and  Kehewin Cree Nation, Tribal Chiefs Ventures Inc.",Storage,2021,,,,Planned,,,,CO2 storage,Dedicated storage,T6-Kanata CarbonHub (ALB)
TA’ZIZ blue ammonia,United Arab Emirates,"ADNOC, TA'ZIZ, Fertiglobe, Mitsui, GS Energy",Full chain,2020,2023,2025,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Taiwan Cement Hoping/Heping plant,Chinese Taipei,Taiwan cement,Capture,2019,,2030,,Planned,1,0.1,0.1,Cement,Use,
Tampa Electric Company Polk Power station NGCC (FL),United States,"Tampa Electric Company, ION Clean Energy, DOE (FEED funding)",Capture,2022,,,,Planned,,3.7,3.7,Power and heat,Dedicated storage,
Tangguh LNG Vorwata LNG,Indonesia,"BP, Mitsubishi, Inpex,  JX  Nippon,  KG  Mitsui,  LNG  Japan,  CNOOC",Full chain,2021,2023,2027,,Planned,,2.5,3.3,Natural gas processing,EOR,
Tees Valley Energy Recovery Facility (TVERF),United Kingdom,Hartlepool Borough Council (leading partnership with 6 other councils),Capture,2022,,2026,,Planned,,,,Power and heat,Dedicated storage,Northern Endurance Partnership
Terrell Natural Gas Processing Plant (former Val Verde) (TX),United States,"Blue Source, Occidental, Chevron",Full chain,,,1972,,Operational,,0.4,0.5,Natural gas processing,EOR,
Tharaldson Ethanol Casselton biorefinery (ND),United States,"Tharaldson Ethanol, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.43,0.501,Biofuels,Dedicated storage,Midwest carbon express
The Grande Prairie CCS Hub (ALB),Canada, Enhance Energy Inc.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,The Grande Prairie CCS Hub (ALB)
The ZEROS project Chambers & Liberty County (Jefferson) (TX),United States,Texas Water Resources Institute,Capture,2019,,2023,,Planned,,1.5,1.5,Power and heat,EOR,
Tomakomai CCS demonstration project,Japan,Japan CCS,Full chain,2008,,2016,2019,Operational,,0.1,0.1,Hydrogen/ammonia,Dedicated storage,
Tomakomai CCUS hub & cluster,Japan,"Idemitsu, Hokkaido Electric Power, JAPEX",Full chain,2023,,2030,,Planned,,,,CO2 T&S,Dedicated storage,
TotalEnergies Normandy hydrogen production unit,France,"TotalEnergies, Air Liquide",Capture,2021,,2030,,Planned,,0.65,0.65,Other fuel transformation,Unknown/unspecified,
Tourmaline Clearwater CCUS (ALB),Canada, Tourmaline Oil Corp.,Storage,2022,,,,Planned,,10,10,CO2 storage,Dedicated storage,Tourmaline Clearwater CCUS (ALB)
Trudvang storage project,Norway,"Sval (40%), Storegga (30%), Netptune energy (30%)",T&S,2023,,2029,,Planned,,9,9,CO2 T&S,Dedicated storage,Trudvang storage project
Tulare County Carbon Storage Project (CA),United States,Advanced Resources International Inc.,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Tulare County Carbon Storage Project (CA)
Twence Hengelo facility,Netherlands,"Twence, Aker CC (tech)",CCU,2019,2021,2023,,Under construction,,0.1,0.1,Power and heat,Use,
Uinta Basin Carbon SAFE (UT),United States,University of Utah,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Uinta Basin Carbon SAFE (UT)
Uthmaniyah CO2-EOR demonstration,Saudi Arabia,Saudi Aramco,Full chain,2013,2013,2015,,Operational,,0.8,0.8,Natural gas processing,Use and EOR,
Valero Port Arthur Refinery (TX),United States,"Air products, Denbury",Full chain,2009,2011,2013,,Operational,,0.9,0.9,Other fuel transformation,EOR,
Växjö Energi CHP CCS Sandviksverket,Sweden,Växjö Energi ,Capture,2021,,2027,,Planned,,0.18,0.18,Power and heat,Dedicated storage,
Velocys Bayou Fuels (MS),United States,"Velocys, Oxy Low Carbon Ventures",Capture,2019,,2024,,Planned,,0.3,0.5,Biofuels,EOR,Oxy Low carbon ventures
Venture Global LNG Calcasieu Pass CCS (LA),United States,Venture Global,Full chain,2021,,,,Planned,,0.5,0.5,Natural gas processing,Unknown/unspecified,
Venture Global LNG CP2 liquefaction facility CCS (LA),United States,Venture Global,Full chain,2021,,,,Planned,,0.5,0.5,Natural gas processing,Dedicated storage,
Venture Global LNG Plaquemines CCS (LA),United States,Venture Global,Full chain,2021,,,,Planned,,,,Natural gas processing,Unknown/unspecified,
Vestforbrænding's Ejby incineration plant ,Denmark,Vestforbrænding,CCU,2019,,2025,,Planned,,0.45,0.45,Power and heat,Use,
Viking CCS Phase 1,United Kingdom,"Harbour Energg, kent (engineering provider) ",T&S,2020,2024,2027,,Planned,1,3.6,3.6,CO2 T&S,Dedicated storage,Viking CCS
Viking CCS Phase 2,United Kingdom,Harbour Energy,T&S,2020,,2030,,Planned,2,6.4,6.4,CO2 T&S,Dedicated storage,Viking CCS
Viking CCS Phase 3,United Kingdom,Harbour Energy,T&S,2020,,2035,,Planned,3,5,5,CO2 T&S,Dedicated storage,Viking CCS
Voestalpine hot briquetted iron plant Portland (TX),United States,"Board of Trustees of the University of Illinois, Voestalpine, Air Liquide",Full chain,2022,,,,Planned,,,,Iron and steel,Dedicated storage,
VPI Immingham CHP plant CCS,United Kingdom,Vitol VPI Immingham,Capture,2019,,2027,,Planned,,3,3,Power and heat,Dedicated storage,Viking CCS
Wabash Valley Resources (IN),United States,Wabash Valley Resources,Full chain,2016,,2024,,Planned,,1.65,1.65,Hydrogen/ammonia,Dedicated storage,
WCS Redwater CO2 Recovery Unit (formerly nutrien) (ACTL) (ALB) phase 1,Canada,"Nutrien, ACTL",Capture,2011,2019,2019,,Operational,1,0.3,0.3,Other industry,EOR,Alberta Carbon Trunk Line (ACTL)
WCS Redwater CO2 Recovery Unit (formerly nutrien) (ACTL) (ALB) phase 2,Canada,Agrium Canada Partnership,Capture,2022,,,,Planned,2,,,Other industry,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL)
WH2V therminal (Wilhelshaven green energy hub phase 1),"Belgium, Germany, Netherlands, Switzerland, United States",TES,Transport,2022,,2029,,Planned,,10,10,CO2 transport,,Connected to German Carbon Grid
Whitetail Clean Energy,United Kingdom,"8Rivers, Sembcorp Energy UK",Capture,2021,2023,2025,,Planned,,0.8,0.8,Power and heat,Dedicated storage,Northern Endurance Partnership
Wilhelmshaven Energy Hub BlueHyNow,Germany,Wintershall Dea,Capture,2022,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,WH2V eng hub
Wintershall Dea Luna storage,Norway,"Wintershall Dea (60%), CapeOmega (40%)",Storage,2022,2025,,,Planned,,5,5,CO2 storage,Dedicated storage,Wintershall dea Luna
Wintershall Dea-Equinor Gernany-Norway pipeline phase 1,"Germany, Norway","Wintershall Dea, Equinor",Transport,2022,,2032,,Planned,1,20,20,CO2 transport,,Wintershall Dea-Equinor Gernany-Norway pipeline
Wintershall Dea-Equinor Gernany-Norway pipeline phase 2,"Germany, Norway","Wintershall Dea, Equinor",Transport,2022,,2037,,Planned,2,20,20,CO2 transport,,Wintershall Dea-Equinor Gernany-Norway pipeline
Wintershell dea-Fluxys belgium-germany pipeline,"Germany, Norway","Wintershell dea, Fluxys",Transport,2023,,2030,,Planned,,30,30,CO2 transport,,Wintershell dea-Fluxys belgium-germany pipeline
Woodside Browse CCS Assessment,Australia,Woodside energy,Full chain,2022,,,,Planned,,,,Natural gas processing,Dedicated storage,
Yamal LNG,Russian Federation,Novatek,Full chain,,2023,,,Planned,,,,Natural gas processing,Unknown/unspecified,
Yangchang integrated CCUS Yulin Coal Chemical,People's Republic of China,Yanchang Petroleum,Full chain,2015,,2023,,Planned,,0.3,0.3,Other fuel transformation,EOR,
Yara Sluiskil fertiliser,Netherlands,Yara,Capture,2022,,2025,,Planned,,0.8,0.8,Other industry,Dedicated storage,Northern Lights
Zeeland Refinery,Netherlands,"Air Liquide, TotalEnergies",Capture,2021,,,,Planned,,0.8,0.8,Other fuel transformation,Dedicated storage,
ZerCal250,United Kingdom,"Origin, Singleton Birch",Capture,2021,,,,Planned,,,,Other industry,Dedicated storage,Northern Endurance Partnership
