# File:GCAM_Near_Term_Intake_Reference.csv
# Title: GCAM Ref diet by region and sector
# Units: Pcal
# Description: Need 2025 or more recent projection values for near term calibration to have delayed scenarios. Values here were pulled from a GCAM Ref with no dietary change from query food consumption by type (specific)
# Column types: cccnnn
# ----------
scenario,region,technology,2020,2021,2025
reference,Indonesia,Corn,5.11162,0.488844,0.502546
reference,Indonesia,Fruits,6.83675,7.40045,7.92314
reference,Indonesia,Vegetables,2.8888,3.03628,3.25189
reference,Indonesia,MiscCrop,2.86376,2.74747,2.94547
reference,Indonesia,FiberCrop,0,0,0
reference,Indonesia,OilCrop,3.40999,2.92267,3.11728
reference,Indonesia,OilPalm,22.3931,26.6134,28.5234
reference,Indonesia,Soybean,6.5376,8.52524,9.09999
reference,Indonesia,OtherGrain,0.231011,0.239723,0.243737
reference,Indonesia,Beef,0.902576,0.786056,0.840039
reference,Indonesia,Dairy,1.30875,1.38263,1.48326
reference,Indonesia,OtherMeat_Fish,4.98792,4.92923,5.30073
reference,Indonesia,Pork,0.377825,0.354989,0.380194
reference,Indonesia,Poultry,6.26712,6.62764,7.10096
reference,Indonesia,SheepGoat,0.116936,0.107706,0.115724
reference,Indonesia,Legumes,0.649,0.612668,0.654024
reference,Indonesia,NutsSeeds,3.36806,3.26419,3.4811
reference,Indonesia,Rice,85.1311,85.0549,86.7971
reference,Indonesia,RootTuber,15.6013,14.8277,15.1686
reference,Indonesia,SugarCrop,19.8989,21.1073,22.5711
reference,Indonesia,Wheat,18.5665,17.5689,18.0888
reference,Japan,Corn,3.93951,3.83006,3.73472
reference,Japan,Fruits,1.68003,1.66637,1.67848
reference,Japan,Vegetables,2.26019,2.24202,2.25943
reference,Japan,MiscCrop,1.71689,1.6369,1.65004
reference,Japan,FiberCrop,0,0,0
reference,Japan,OilCrop,8.46827,8.03236,8.08355
reference,Japan,OilPalm,0.891948,0.858553,0.866426
reference,Japan,Soybean,8.12832,8.17088,8.21719
reference,Japan,OtherGrain,1.4799,1.41655,1.38697
reference,Japan,Beef,1.46189,1.42257,1.41901
reference,Japan,Dairy,5.51812,5.40133,5.43343
reference,Japan,OtherMeat_Fish,3.69295,3.69413,3.71992
reference,Japan,Pork,4.3175,4.33215,4.35585
reference,Japan,Poultry,6.24312,6.59683,6.64477
reference,Japan,SheepGoat,0.0331619,0.0327634,0.0328891
reference,Japan,Legumes,0.479,0.474728,0.476975
reference,Japan,NutsSeeds,1.17366,1.18257,1.18968
reference,Japan,Rice,23.2375,22.8269,22.3622
reference,Japan,RootTuber,2.39615,2.35294,2.29719
reference,Japan,SugarCrop,7.92309,7.79722,7.86492
reference,Japan,Wheat,15.0008,14.7744,14.4616
reference,Mexico,Corn,34.0356,34.2436,35.1682
reference,Mexico,Fruits,3.78335,3.90079,4.07849
reference,Mexico,Vegetables,1.30913,1.26268,1.32083
reference,Mexico,MiscCrop,0.459395,0.487424,0.511274
reference,Mexico,FiberCrop,0.0133475,0.0144708,0.0150652
reference,Mexico,OilCrop,1.29499,1.36069,1.41971
reference,Mexico,OilPalm,2.75756,2.82215,2.96393
reference,Mexico,Soybean,3.82471,3.91596,4.09053
reference,Mexico,OtherGrain,3.80545,3.62278,3.71364
reference,Mexico,Beef,2.7213,2.67466,2.78061
reference,Mexico,Dairy,6.47862,6.76148,7.06242
reference,Mexico,OtherMeat_Fish,1.66943,1.67111,1.74824
reference,Mexico,Pork,4.9923,5.24356,5.47865
